delay_bucket,order_count,avg_review_score
0 (On Time/Early),88649,4.294150561050117
1–2 days,2117,3.916904761904762
3–5 days,1498,2.809264305177112
6–10 days,1912,1.8917248790972596
11–20 days,1416,1.663412870571222
21+ days,884,1.7582352941176471
